date,time,temperature_2m
2026-06-27,2026-06-27T02:30,6.0
2026-06-27,2026-06-27T06:45,6.9
2026-06-27,2026-06-27T11:00,7.8
2026-06-27,2026-06-27T16:00,6.0
2026-06-28,2026-06-28T02:45,1.6
2026-06-28,2026-06-28T06:45,0.8
2026-06-28,2026-06-28T11:00,2.8
2026-06-28,2026-06-28T16:00,3.5
2026-06-29,2026-06-29T05:00,-0.1
2026-06-29,2026-06-29T12:00,3.6
2026-06-29,2026-06-29T16:00,5.6
2026-06-30,2026-06-30T03:30,3.5
2026-06-30,2026-06-30T07:15,5.7
2026-06-30,2026-06-30T11:45,10.3
2026-06-30,2026-06-30T16:15,12.5
2026-07-01,2026-07-01T03:30,2.2
2026-07-01,2026-07-01T07:30,6.9
2026-07-01,2026-07-01T12:00,15.8
2026-07-01,2026-07-01T16:15,12.9
2026-07-02,2026-07-02T03:00,4.2
