date,max_temp,min_temp
2021-12-01,1.4,-3.0
2021-12-02,2.5,-0.4
2021-12-03,1.0,-2.5
2021-12-04,0.9,-3.2
2021-12-05,-1.4,-9.9
2021-12-06,-5.2,-11.1
2021-12-07,-5.0,-6.6
2021-12-08,-2.6,-5.2
2021-12-09,-5.5,-11.4
2021-12-10,-11.6,-14.9
2021-12-11,-8.3,-13.2
2021-12-12,-4.3,-8.1
2021-12-13,-2.5,-5.4
2021-12-14,-0.8,-5.0
2022-12-01,-4.2,-7.7
2022-12-02,-5.7,-15.1
2022-12-03,-7.4,-17.4
2022-12-04,-5.5,-13.8
2022-12-05,-6.3,-9.8
2022-12-06,-9.1,-10.7
2022-12-07,-7.0,-11.2
2022-12-08,-10.6,-13.8
2022-12-09,-9.1,-13.8
2022-12-10,-5.7,-13.4
2022-12-11,-3.8,-8.4
2022-12-12,-4.8,-9.7
2022-12-13,-7.7,-13.1
2022-12-14,-9.9,-13.5
2023-12-01,-7.3,-10.5
2023-12-02,-6.9,-10.6
2023-12-03,-4.6,-12.8
2023-12-04,-2.2,-4.7
2023-12-05,1.7,-2.9
2023-12-06,2.2,-4.1
2023-12-07,-2.5,-8.2
2023-12-08,-6.6,-12.3
2023-12-09,-11.1,-16.4
2023-12-10,-7.6,-13.4
2023-12-11,-2.8,-8.9
2023-12-12,-1.9,-9.8
2023-12-13,-0.5,-11.7
2023-12-14,-2.1,-11.9
2024-12-01,0.6,-13.8
2024-12-02,4.1,-11.6
2024-12-03,4.6,-8.8
2024-12-04,4.0,-11.3
2024-12-05,3.8,-13.1
2024-12-06,2.2,-13.9
2024-12-07,0.8,-10.6
2024-12-08,-2.3,-12.3
2024-12-09,-8.0,-13.0
2024-12-10,-9.9,-13.6
2024-12-11,-5.5,-11.8
2024-12-12,-0.6,-10.4
2024-12-13,-5.8,-12.0
2024-12-14,-2.7,-7.8
2025-12-01,-8.2,-14.6
2025-12-02,-5.1,-9.4
2025-12-03,-4.1,-12.9
2025-12-04,-7.7,-10.4
2025-12-05,-3.8,-8.2
2025-12-06,-2.8,-7.9
2025-12-07,-4.2,-8.8
2025-12-08,-2.7,-5.0
2025-12-09,0.6,-5.4
2025-12-10,1.1,-5.7
2025-12-11,1.5,-1.5
2025-12-12,0.9,-2.7
2025-12-13,2.0,-7.8
2025-12-14,5.8,-8.9
